numEpochs,learningRate,testLoss,testMae
9,0.1,0.010646793060004711,0.0640077218413353
9,0.2,0.010445058345794678,0.07001402229070663
9,0.5,0.010229433886706829,0.06785495579242706
10,0.001,0.00984713714569807,0.06869623810052872
10,0.01,0.009366573765873909,0.06237567961215973
10,0.1,0.01047853846102953,0.06856859475374222
10,0.2,0.010278766043484211,0.06616580486297607
10,0.5,0.010420111939311028,0.07187967002391815
11,0.001,0.010343640111386776,0.07137797027826309
11,0.01,0.009319004602730274,0.06124069169163704
11,0.1,0.01060508843511343,0.06495987623929977
11,0.2,0.010400095023214817,0.06412552297115326
11,0.5,0.011936723254621029,0.0815320760011673
12,0.001,0.010024896822869778,0.07109435647726059
12,0.01,0.00933102611452341,0.06272757798433304
12,0.1,0.010277987457811832,0.06673341244459152
12,0.2,0.010348265059292316,0.07072107493877411
12,0.5,0.010239318944513798,0.0658835843205452
13,0.001,0.009338220581412315,0.06686019152402878
13,0.01,0.009394149295985699,0.06101715564727783
13,0.1,0.010360979475080967,0.06959789246320724
13,0.2,0.012870223261415958,0.07562153786420822
13,0.5,0.010485908947885036,0.06402038037776947
14,0.001,0.009462058544158936,0.06659939140081406
14,0.01,0.009193578734993935,0.061805516481399536
14,0.1,0.010489162057638168,0.06470558792352676
14,0.2,0.01044248603284359,0.06997977197170258
14,0.5,0.011064787395298481,0.06743462383747101
15,0.001,0.00941642839461565,0.06581432372331619
15,0.01,0.009295365773141384,0.06207672879099846
15,0.1,0.010417439043521881,0.06478637456893921
15,0.2,0.011965290643274784,0.06960691511631012
15,0.5,0.010194124653935432,0.06708044558763504
16,0.001,0.009542587213218212,0.06571562588214874
16,0.01,0.009213718585669994,0.06100877374410629
16,0.1,0.010227382183074951,0.06528855860233307
16,0.2,0.01031846646219492,0.06769486516714096
16,0.5,0.010197030380368233,0.06582892686128616
17,0.001,0.009570414200425148,0.06685403734445572
17,0.01,0.00941714271903038,0.06285232305526733
17,0.1,0.010527024045586586,0.06449766457080841
17,0.2,0.010283580981194973,0.06792166084051132
17,0.5,0.010234247893095016,0.06742039322853088
18,0.001,0.009982068091630936,0.06994267553091049
18,0.01,0.009101156145334244,0.05960589647293091
18,0.1,0.010864750482141972,0.07516017556190491
18,0.2,0.010369366966187954,0.07069731503725052
18,0.5,0.010330063290894032,0.06541568785905838
19,0.001,0.009041124023497105,0.06335346400737762
19,0.01,0.009488164447247982,0.06032032519578934
19,0.1,0.01046659890562296,0.07006099075078964
19,0.2,0.010562903247773647,0.06358247995376587
19,0.5,0.010852949693799019,0.06511544436216354
20,0.001,0.00933068711310625,0.06539851427078247
20,0.01,0.009246224537491798,0.05954665690660477
20,0.1,0.010339191183447838,0.06676241755485535
20,0.2,0.010240661911666393,0.06695611774921417
20,0.5,0.011052560992538929,0.06411723047494888
21,0.001,0.009163929149508476,0.06399133801460266
21,0.01,0.00915482547134161,0.061695922166109085
